# Project DownloadCount ErrorProbability
autologging 157569 0
mypy-boto3-mwaa 157334 1
pyshark 157214 0
python-jwt 157189 1
django-braces 157120 1
graphyte 156764 1
websocket 156746 0
lsprotocol 156659 0
stumpy 156533 0
django-multiselectfield 156532 0
types-aiobotocore-ec2 156489 0
mypy-boto3-cloudtrail 156448 1
tendo 156291 1
django-colorful 156234 0
pymoo 156188 1
julius 156025 1
cpplint 155964 1
pyrepl 155943 0
dagit 155863 1
keras2onnx 155780 1
robotframework-stacktrace 155723 1
stups-tokens 155658 0
python-oauth2 155617 0
pygls 155310 0
geohash2 155221 1
clip-anytorch 155112 1
pandoc 155111 1
pytorchvideo 155062 1
html-tag-names 154994 0
html-void-elements 154980 0
pyastronomy 154969 1
aws-cdk-aws-globalaccelerator 154916 0
pycocoevalcap 154911 1
scrypt 154676 1
django-classy-tags 154431 1
versioneer-518 154392 1
lookml 154269 1
mypy-boto3-cloudfront 154193 1
gspread-formatting 154186 1
trl 154169 1
huaweicloudsdkdns 154169 0
python-hosts 154072 0
mypy-boto3-application-autoscaling 153940 1
sqlalchemy-migrate 153878 1
fredapi 153752 1
sqlalchemy-sqlany 153567 1
returns 153516 0
simplekml 153499 0
django-structlog 153324 1
allure-behave 153297 1
detect-delimiter 153245 1
mypy-boto3-elasticache 153186 1
snapshottest 152902 1
embedding-reader 152756 1
utilmy 152748 1
python-openid 152734 1
dbutils-typehint 152718 1
tf-models-official 152694 1
zope-proxy 152666 0
pytest-profiling 152655 0
mypy-boto3-es 152618 1
timedelta 152605 1
pygeos 152559 0
python-status 152476 0
serpent 152458 0
flake8-use-fstring 152384 1
presidio-analyzer 152286 1
unicode-slugify 152230 0
unstructured-inference 152171 1
emmet-core 152082 1
stanza 151996 1
htpasswd 151800 1
sphinx-prompt 151740 1
mypy-boto3-location 151675 1
flask-assets 151535 0
django-linear-migrations 151361 1
jinxed 151321 1
rasa 151165 1
twisted-iocpsupport 151085 1
apsw 150971 1
mypy-boto3-acm 150906 1
deepface 150876 1
homeassistant 150752 1
mcap-protobuf-support 150751 1
censys 150633 0
wheel-filename 150607 0
plux 150520 0
bibtexparser 150507 0
types-aiobotocore-lambda 150495 0
mypy-boto3-kafka 150332 1
types-aiobotocore-cloudformation 150312 0
facets-overview 150308 0
types-aiobotocore-rds 150211 1
autoray 150207 1
easygui 150176 0
ntc-templates 150160 0
lithium-reducer 150059 1
pybuildkite 150003 0
stups-cli-support 149582 1
stups-zign 149576 1
lm-eval 149575 1
flask-openapi3 149517 1
mypy-boto3-codepipeline 149454 1
wagtail 149406 1
opencv-contrib-python-headless 149392 1
apache-superset 149381 1
mkdocs-awesome-pages-plugin 149367 0
implicit 149359 1
apache-airflow-providers-openlineage 149156 1
elasticsearch7 149142 1
django-admin-sortable2 148858 0
pdfrw 148817 0
agate-dbf 148574 0
mypy-boto3-quicksight 148568 1
airflow-dbt-python 148532 1
dynamo-pandas 148491 1
apache-airflow-providers-github 148447 1
pdfminer 148413 0
curatorbin 148407 1
tabulator 148407 0
django-easy-select2 148382 1
mypy-boto3-emr-containers 148336 1
dbnd-spark 148305 1
pybars3 148267 1
mypy-boto3-translate 148250 1
pycodestyle-magic 148037 1
multiprocessing-logging 147790 0
fastdiff 147732 1
docusign-esign 147614 0
ngrok 147421 0
azure-iot-hub 147408 1
django-tinymce 147333 1
mypy-boto3-transfer 147301 1
encoder 147255 1
mypy-boto3-codedeploy 147227 1
testscenarios 147224 1
pyproject-flake8 147129 0
langchainplus-sdk 147105 0
litellm 146941 1
gower 146940 1
zope-deferredimport 146669 0
littleutils 146658 0
azure-eventhub-checkpointstoreblob 146413 1
mypy-boto3-ebs 146401 1
pandas-access 146234 1
mypy-boto3-sesv2 146183 1
opentelemetry-instrumentation-httpx 146178 0
mypy-boto3-iot 146177 1
mojimoji 145780 1
mmdet 145753 1
dynamic-rest 145718 1
email-reply-parser 145622 1
mypy-boto3-textract 145620 1
fastdownload 145592 1
mypy-boto3-apigatewaymanagementapi 145506 1
mypy-boto3-cognito-identity 145449 1
django-ninja 145435 0
mypy-boto3-iot-data 145331 1
zope-sqlalchemy 145264 0
scikit-surprise 145256 1
mypy-boto3-marketplace-entitlement 145182 1
mypy-boto3-dlm 145141 1
djangorestframework-csv 145061 1
pygresql 145040 1
google-generativeai 144939 1
robotframework-assertion-engine 144929 1
mypy-boto3-resourcegroupstaggingapi 144888 1
proxy-protocol 144721 1
apache-airflow-providers-trino 144721 1
rake-nltk 144714 1
types-maxminddb 144655 1
clearml-agent 144564 1
dagster-k8s 144523 1
pyreadstat 144487 1
mypy-boto3-budgets 144395 1
scooby 144377 0
mypy-boto3-elb 144305 1
tableschema 144263 0
mypy-boto3-servicecatalog 144262 1
purecloudplatformclientv2 144204 1
airflow-clickhouse-plugin 144180 1
tavern 143841 1
ngram 143839 1
mypy-boto3-codeartifact 143827 1
mypy-boto3-rds-data 143681 1
testresources 143673 0
mypy-boto3-accessanalyzer 143578 1
daal 143562 1
honcho 143561 1
scann 143554 1
mypy-boto3-transcribe 143553 1
hyper 143277 1
wavefront-sdk-python 143178 1
pytest-cases 143177 0
mypy-boto3-guardduty 143052 1
pyscrypt 143043 0
mypy-boto3-apigatewayv2 143042 1
mypy-boto3-wafv2 143032 1
simpervisor 143004 1
opencensus-ext-stackdriver 142939 1
django-cleanup 142912 0
mypy-boto3-ivs-realtime 142630 1
mypy-boto3-redshift 142605 1
mypy-boto3-network-firewall 142575 1
robotframework-browser 142517 1
sphinx-new-tab-link 142479 1
pytest-github-actions-annotate-failures 142464 1
evergreen-lint 142431 1
mypy-boto3-ec2-instance-connect 142381 1
pygeoif 142300 1
efficientnet-pytorch 142165 1
apache-airflow-providers-apache-hive 142151 1
azureml-train 142112 0
mypy-boto3-dms 142055 1
mypy-boto3-bedrock-runtime 142037 1
robotframework-databaselibrary 142008 1
formencode 141967 0
virtualenvwrapper 141925 0
attributedict 141886 1
flake8-return 141848 1
dbt-sqlserver 141814 1
mypy-boto3-securityhub 141744 1
lomond 141670 1
lmfit 141670 0
browser-cookie3 141663 0
mypy-boto3-backup 141560 1
mypy-boto3-ecr-public 141460 1
jax-jumpy 141443 0
mypy-boto3-emr-serverless 141246 1
inspecta 141233 1
celery-redbeat 141155 0
opentelemetry-exporter-prometheus 141065 0
mypy-boto3-codebuild 140985 1
mypy-boto3-greengrassv2 140880 1
mypy-boto3-scheduler 140852 1
parse-it 140799 1
persistent 140659 0
pubnub 140579 0
mypy-boto3-mediaconvert 140496 1
mypy-boto3-config 140495 1
daal4py 140457 1
logging 140381 1
pyannote-pipeline 140376 1
mypy-boto3-account 140349 1
mypy-boto3-comprehend 140313 1
mypy-boto3-support 140284 1
git-pylint-commit-hook 140275 0
pylibftdi 140272 1
django-bootstrap4 140243 0
treelite-runtime 140205 1
opensimplex 140202 0
treelite 140136 1
openexr 140128 1
mypy-boto3-cloudsearchdomain 140020 1
nbstripout 139971 1
mypy-boto3-cloudsearch 139926 1
mypy-boto3-ram 139914 1
mypy-boto3-timestream-write 139909 1
ml-wrappers 139829 1
mypy-boto3-bedrock 139764 1
zake 139680 1
pfzy 139661 0
filigran-sseclient 139648 1
mdx-truly-sane-lists 139630 0
aws-cdk-aws-apigatewayv2-integrations-alpha 139544 1
pyecharts 139525 0
certbot-dns-azure 139430 1
aiorun 139387 0
pymc 139364 1
tree-sitter 139271 0
mypy-boto3-appsync 139243 1
getmac 139229 0
streamlit-extras 139182 1
mypy-boto3-acm-pca 139133 1
django-configurations 139112 0
robotframework-robocop 139111 1
aiocontextvars 139103 1
mypy-boto3-codecommit 139082 1
mypy-boto3-ds 139078 1
django-mock-queries 139012 0
mypy-boto3-glacier 138879 1
keras-tuner 138855 1
compressed-rtf 138853 1
ipy 138782 0
vobject 138777 0
ai21 138722 1
mypy-boto3-timestream-query 138695 1
mypy-boto3-service-quotas 138689 1
chemprop 138632 1
pykerberos 138549 1
mypy-boto3-devicefarm 138446 1
django-nested-admin 138429 0
mypy-boto3-rekognition 138395 1
prefect-shell 138384 1
mypy-boto3-dynamodbstreams 138320 1
urwid-readline 138234 0
mypy-boto3-imagebuilder 138230 1
mypy-boto3-mediastore 138208 1
mypy-boto3-comprehendmedical 138203 1
inquirerpy 138139 0
mypy-boto3-meteringmarketplace 138137 1
prettyprinter 138126 1
mypy-boto3-grafana 138124 1
mypy-boto3-serverlessrepo 138119 1
mypy-boto3-route53resolver 138118 1
mypy-boto3-amplify 138099 1
pyvalid 138063 1
mypy-boto3-sdb 138037 1
progressbar33 137976 0
imap-tools 137956 0
rerun-sdk 137929 1
dtlpymetrics 137881 1
mypy-boto3-ssm-incidents 137849 1
mypy-boto3-amp 137796 1
mypy-boto3-waf-regional 137783 1
mypy-boto3-wisdom 137764 1
mypy-boto3-chime 137761 1
mypy-boto3-mturk 137752 1
mypy-boto3-chime-sdk-meetings 137750 1
mypy-boto3-appstream 137739 1
mypy-boto3-datapipeline 137717 1
mypy-boto3-auditmanager 137690 1
mypy-boto3-lex-models 137683 1
mypy-boto3-codestar 137669 1
mypy-boto3-iotwireless 137663 1
mypy-boto3-personalize-runtime 137657 1
mypy-boto3-docdb 137645 1
mypy-boto3-groundstation 137640 1
mypy-boto3-inspector 137625 1
mypy-boto3-storagegateway 137606 1
mypy-boto3-codeguru-reviewer 137597 1
mypy-boto3-workmail 137592 1
mypy-boto3-inspector2 137591 1
mypy-boto3-backup-gateway 137581 1
mypy-boto3-chime-sdk-media-pipelines 137576 1
mypy-boto3-databrew 137574 1
binary 137571 0
mypy-boto3-cloudhsmv2 137559 1
bzt 137556 1
mypy-boto3-chime-sdk-messaging 137553 1
simpleitk 137536 0
mypy-boto3-s3control 137508 0
mypy-boto3-workspaces-web 137493 1
mypy-boto3-lookoutequipment 137491 1
mypy-boto3-application-insights 137490 1
mypy-boto3-mediaconnect 137489 1
mypy-boto3-iotsitewise 137475 1
mypy-boto3-dax 137468 1
mypy-boto3-connect 137455 1
mypy-boto3-mgh 137448 1
mypy-boto3-robomaker 137448 1
mypy-boto3-mgn 137444 1
mypy-boto3-cloudtrail-data 137430 1
mypy-boto3-panorama 137429 1
placebo 137428 1
mypy-boto3-opsworkscm 137427 1
mypy-boto3-healthlake 137404 1
mypy-boto3-kinesis-video-media 137390 1
mypy-boto3-codestar-connections 137384 1
mypy-boto3-proton 137383 1
mypy-boto3-discovery 137375 1
mypy-boto3-gamelift 137373 1
mypy-boto3-keyspaces 137373 1
mypy-boto3-workdocs 137372 1
mypy-boto3-mediapackage 137370 1
mypy-boto3-kinesisanalyticsv2 137368 1
mypy-boto3-sagemaker-edge 137360 1
mypy-boto3-servicediscovery 137358 1
mypy-boto3-kinesisanalytics 137358 1
mypy-boto3-kafkaconnect 137350 1
mypy-boto3-mq 137344 1
mypy-boto3-elastictranscoder 137342 1
brickflows 137340 1
mypy-boto3-snow-device-management 137335 1
mypy-boto3-managedblockchain 137333 1
pylibmc 137328 1
mypy-boto3-rbin 137318 1
mypy-boto3-evidently 137317 1
mypy-boto3-iotsecuretunneling 137316 1
mypy-boto3-marketplacecommerceanalytics 137313 1
mypy-boto3-migrationhub-config 137310 1
mypy-boto3-marketplace-catalog 137295 1
mypy-boto3-detective 137288 1
mypy-boto3-waf 137285 1
mypy-boto3-kinesis-video-signaling 137283 1
mypy-boto3-kinesis-video-webrtc-storage 137281 1
qiskit-terra 137274 1
mypy-boto3-greengrass 137269 1
mypy-boto3-qldb 137259 1
mypy-boto3-kinesis-video-archived-media 137250 1
mypy-boto3-snowball 137243 1
mypy-boto3-alexaforbusiness 137238 1
mypy-boto3-cloud9 137237 1
mypy-boto3-clouddirectory 137234 1
mypy-boto3-ivs 137232 1
mypy-boto3-datasync 137223 1
scikit-learn-intelex 137210 1
mypy-boto3-iotdeviceadvisor 137206 1
mypy-boto3-arc-zonal-shift 137185 1
azure-monitor-ingestion 137184 1
mypy-boto3-rolesanywhere 137178 1
username 137174 1
mypy-boto3-sagemaker-a2i-runtime 137171 1
mypy-boto3-medical-imaging 137163 1
mypy-boto3-fsx 137142 1
mypy-boto3-cloudhsm 137136 1
mypy-boto3-iotevents 137113 1
mypy-boto3-lexv2-runtime 137111 1
mypy-boto3-securitylake 137111 1
mypy-boto3-pi 137101 1
mypy-boto3-cognito-sync 137093 1
mypy-boto3-networkmanager 137080 1
mypy-boto3-directconnect 137075 1
mypy-boto3-dataexchange 137066 1
mypy-boto3-workspaces 137065 1
mypy-boto3-servicecatalog-appregistry 137061 1
mypy-boto3-finspace-data 137042 1
mypy-boto3-honeycode 137036 1
mypy-boto3-lookoutvision 137035 1
mypy-boto3-medialive 137027 1
mypy-boto3-sagemaker-geospatial 137024 1
django-elasticsearch-dsl 137020 1
mypy-boto3-mediapackage-vod 137014 1
mypy-boto3-oam 137009 1
mypy-boto3-pca-connector-ad 137005 1
mypy-boto3-workmailmessageflow 136987 1
mypy-boto3-synthetics 136985 1
certbot-nginx 136984 1
mypy-boto3-codestar-notifications 136983 1
types-filelock 136975 1
mypy-boto3-redshift-serverless 136949 1
mypy-boto3-amplifybackend 136940 1
openapi-core 136939 1
mypy-boto3-backupstorage 136938 1
mypy-boto3-autoscaling-plans 136935 1
mypy-boto3-sagemaker-featurestore-runtime 136934 1
mypy-boto3-migrationhubstrategy 136934 1
mypy-boto3-resiliencehub 136930 1
mypy-boto3-appconfigdata 136912 1
mypy-boto3-migration-hub-refactor-spaces 136911 1
mypy-boto3-route53-recovery-control-config 136907 1
mypy-boto3-wellarchitected 136896 1
mypy-boto3-billingconductor 136888 1
mypy-boto3-sms-voice 136872 1
mypy-boto3-lookoutmetrics 136857 1
mypy-boto3-ivschat 136853 1
mypy-boto3-verifiedpermissions 136850 1
mypy-boto3-appmesh 136846 1
mypy-boto3-codecatalyst 136840 1
mypy-boto3-worklink 136823 1
jupyter-server-proxy 136817 1
mypy-boto3-compute-optimizer 136816 1
mypy-boto3-chime-sdk-identity 136811 1
mypy-boto3-support-app 136798 1
mypy-boto3-opsworks 136782 1
mypy-boto3-cloudcontrol 136781 1
interpret-community 136777 1
mypy-boto3-docdb-elastic 136776 1
mypy-boto3-shield 136774 1
mypy-boto3-iottwinmaker 136774 1
mypy-boto3-applicationcostprofiler 136771 1
mypy-boto3-neptune 136765 1
mypy-boto3-m2 136754 1
mypy-boto3-appintegrations 136750 1
mypy-boto3-opensearchserverless 136736 1
mypy-boto3-ssm-sap 136729 1
mypy-boto3-apprunner 136723 1
python-monkey-business 136715 0
mypy-boto3-payment-cryptography-data 136712 1
mypy-boto3-amplifyuibuilder 136708 1
mypy-boto3-simspaceweaver 136705 1
mypy-boto3-elasticbeanstalk 136703 1
cyberdrop-dl 136694 1
mypy-boto3-iotfleetwise 136678 1
mypy-boto3-kinesisvideo 136653 1
mypy-boto3-pinpoint-email 136644 1
mypy-boto3-sagemaker-metrics 136642 1
mypy-boto3-osis 136633 1
mypy-boto3-resource-groups 136632 1
mypy-boto3-braket 136631 1
mypy-boto3-codeguru-security 136610 1
mypy-boto3-pinpoint-sms-voice-v2 136608 1
mypy-boto3-qldb-session 136607 1
mypy-boto3-mobile 136601 1
mypy-boto3-connectparticipant 136600 1
mypy-boto3-connectcampaigns 136599 1
mypy-boto3-polly 136589 1
mypy-boto3-migrationhuborchestrator 136584 1
mypy-boto3-iotfleethub 136578 1
mypy-boto3-voice-id 136577 1
mypy-boto3-forecast 136567 1
mypy-boto3-payment-cryptography 136557 1
mypy-boto3-machinelearning 136543 1
mypy-boto3-pipes 136541 1
mypy-boto3-iot1click-devices 136531 1
mypy-boto3-kendra-ranking 136518 1
mypy-boto3-forecastquery 136507 1
mypy-boto3-codeguruprofiler 136495 1
mypy-boto3-globalaccelerator 136484 1
mypy-boto3-cur 136480 1
mypy-boto3-kendra 136478 1
mypy-boto3-devops-guru 136474 1
mypy-boto3-license-manager 136462 1
mypy-boto3-cleanrooms 136430 1
mypy-boto3-iot-roborunner 136428 1
mypy-boto3-connect-contact-lens 136423 1
mypy-boto3-personalize-events 136416 1
mypy-boto3-customer-profiles 136412 1
mypy-boto3-lightsail 136399 1
mypy-boto3-lexv2-models 136394 1
mypy-boto3-savingsplans 136392 1
mypy-boto3-neptunedata 136383 1
opensearch-dsl 136383 1
ipyevents 136382 1
mypy-boto3-elastic-inference 136379 1
mypy-boto3-omics 136379 1
mypy-boto3-iot1click-projects 136367 1
mypy-boto3-appfabric 136355 1
mypy-boto3-ssm-contacts 136351 1
mypy-boto3-mediapackagev2 136345 1
mypy-boto3-frauddetector 136330 1
mypy-boto3-launch-wizard 136326 1
mypy-boto3-health 136325 1
mypy-boto3-route53-recovery-cluster 136312 1
mypy-boto3-mediatailor 136302 1
mypy-boto3-swf 136301 1
wikipedia-api 136293 1
mypy-boto3-iotanalytics 136288 1
mypy-boto3-drs 136272 1
mypy-boto3-fms 136269 1
mypy-boto3-fis 136265 1
itables 136260 1
mypy-boto3-iotthingsgraph 136259 1
mypy-boto3-chime-sdk-voice 136253 1
django-dirtyfields 136244 1
mypy-boto3-importexport 136240 1
mypy-boto3-vpc-lattice 136217 1
mypy-boto3-finspace 136216 1
mypy-boto3-nimble 136215 1
pytils 136206 0
mypy-boto3-macie2 136205 1
mypy-boto3-connectcases 136192 1
mypy-boto3-internetmonitor 136192 1
mypy-boto3-sms 136175 1
mypy-boto3-personalize 136170 1
ema-pytorch 136152 1
result 136136 0
mypy-boto3-iot-jobs-data 136134 1
mypy-boto3-mediastore-data 136133 1
mypy-boto3-lex-runtime 136129 1
mypy-boto3-tnb 136127 1
mypy-boto3-iotevents-data 136127 1
mypy-boto3-rum 136114 1
mypy-boto3-sso-oidc 136083 1
mypy-boto3-controltower 136079 1
csscompressor 136066 0
mypy-boto3-pinpoint-sms-voice 136060 1
mypy-boto3-resource-explorer-2 136017 1
mypy-boto3-outposts 136012 1
mypy-boto3-s3outposts 136000 1
mypy-boto3-memorydb 135997 1
mypy-boto3-route53domains 135994 1
faster-whisper 135987 1
mypy-boto3-route53-recovery-readiness 135913 1
glpk 135898 1
mypy-boto3-entityresolution 135817 1
willow 135798 0
mypy-boto3-privatenetworks 135784 1
mypy-boto3-license-manager-user-subscriptions 135763 1
mypy-boto3-datazone 135736 1
sly 135699 0
mypy-boto3-license-manager-linux-subscriptions 135696 1
cloudwatch 135671 1
pyodps 135650 1
envs 135561 0
mypy-boto3-managedblockchain-query 135522 1
visitor 135520 0
business-duration 135427 1
pysqlite3-binary 135399 0
strsimpy 135044 1
mozilla-version 134985 1
etelemetry 134963 0
awscli-local 134950 0
pyicu-binary 134911 1
m3u8 134713 0
pyspark-test 134704 1
django-modelcluster 134522 0
mailchimp3 134428 0
dockerfile 134299 1
rule-engine 134298 1
snakeviz 134284 0
rstcheck-core 134273 0
spotipy 134227 0
parsl 133973 1
sagemaker-feature-store-pyspark-3-1 133908 1
boost-histogram 133859 0
requests-async 133723 1
td-client 133715 1
jsonpath-python 133674 0
pylogbeat 133671 1
django-grappelli 133542 1
praw 133518 0
pure-python-adb 133481 0
salib 133380 1
pytest-regressions 133378 0
django-query-signals 133127 1
evdev 133047 0
drf-jwt-2fa 133021 1
json-schema-for-humans 132956 0
os-sys 132793 1
ibm-secrets-manager-sdk 132761 1
args 132708 0
screeninfo 132670 0
graphene-sqlalchemy 132629 1
munkres 132565 0
airtable-python-wrapper 132537 1
python-terraform 132527 1
sphinxcontrib-restbuilder 132472 1
funcx 132458 1
pytest-logger 132399 1
snakemake 132390 1
linear-tsv 132323 0
securesystemslib 132244 1
home-run 132015 1
raiutils 131869 1
slack-webhook 131689 1
types-aiobotocore-acm 131659 1
types-aiobotocore-elbv2 131621 0
types-aiobotocore-route53 131600 1
controlnet-aux 131528 1
pytest-shutil 131495 1
mo-future 131492 0
djoser 131463 1
fuzzy 131336 1
rank-bm25 131215 1
atc-dataplatform 131199 1
google-cloud-certificate-manager 131167 1
aioprometheus 131109 1
pypowerbi 131091 1
plotbin 131080 1
img2pdf 131036 0
loess 130993 1
btrees 130938 0
rdkit-pypi 130823 0
uproot4 130815 1
id 130723 1
flask-bootstrap 130604 0
bingads 130564 1
fs-gcsfs 130515 1
qiskit 130496 1
pyvista 130474 1
drf-spectacular-sidecar 130336 0
comet-ml 130322 1
oslo-concurrency 130118 0
types-aiobotocore-iam 130093 1
faust-cchardet 129964 0
opentelemetry-instrumentation-pymongo 129857 1
avro-validator 129787 1
mdformat-frontmatter 129739 0
pytest-parametrization 129735 1
pylsqpack 129603 1
django-templated-mail 129551 1
deepdiff6 129505 1
ldapdomaindump 129489 0
inotify-simple 129480 0
roboflow 129432 1
decopatch 129341 0
pre-commit-hooks 128989 0
mapclassify 128928 1
django-hijack 128835 1
formic2 128823 1
zipcodes 128772 1
flake8-logging-format 128657 1
flask-principal 128649 0
locust-plugins 128552 0
mxnet-mkl 128419 0
justext 128414 1
async-property 128412 1
base64io 128403 1
pycalverter 128380 1
python-lsp-server 128277 0
enlighten 128268 0
transform 128131 1
torch-fidelity 127838 1
sphinxcontrib-httpdomain 127765 1
pythran 127718 0
boilerpy3 127658 1
symengine 127637 1
pymongo-auth-aws 127614 1
drf-extensions 127484 1
python-json-config 127442 1
unidic 127401 0
flask-restplus 127364 1
cartopy 127343 0
std-uritemplate 127316 1
hierarchical-conf 127313 1
django-recaptcha 127291 1
xlwings 127134 1
pyro4 127092 0
localstack-core 127008 0
lxml-stubs 126959 0
dirty-equals 126956 0
multisig-hmac 126869 1
click-configfile 126836 0
fido2 126736 0
pytest-picked 126654 1
quart-cors 126574 0
pyarmor 126562 1
scode 126501 1
ttp 126467 0
gpytorch 126429 1
quantile-python 126322 1
parsy 126213 0
numpyro 126185 0
pytest-reraise 126178 1
spacy-alignments 126169 1
dataclass-wizard 126161 0
ssh2-python 126123 1
tailer 126117 0
coffea 126059 1
slicerator 126001 0
torchsummary 125892 1
install-jdk 125868 1
quandl 125796 0
pims 125773 0
mkdocs-jupyter 125748 1
pywebpush 125684 0
uhashring 125626 1
dask-glm 125556 1
types-openpyxl 125541 1
azureml 125509 1
jc 125497 0
cirq-google 125445 0
py-moneyed 125393 1
py3o-template 125249 0
wagon 125230 1
django-select2 125223 1
pyjon-utils 125145 0
xsdata 125083 0
telepath 125077 0
pytest-remotedata 125027 0
pyfunceble-dev 124990 0
fastapi-restful 124986 0
wasmer-compiler-cranelift 124954 0
cymruwhois 124829 1
splunk-hec-handler 124826 1
hdrpy 124655 1
django-money 124590 1
cons 124470 0
oic 124399 1
etuples 124344 0
flake8-deprecated 124199 1
pycld2 124189 1
gggdtparser 124172 1
pytensor 124157 1
logical-unification 124120 0
glean-parser 124101 1
hachoir 124088 0
bitmath 123982 0
blake3 123950 1
fnvhash 123883 0
gpsoauth 123842 1
prawcore 123805 0
funcx-common 123785 1
pytest-memray 123730 1
funcx-endpoint 123678 1
pytest-testrail 123635 1
speedtest-cli 123615 0
google-ai-generativelanguage 123579 1
pyannote-audio 123522 1
py-expression-eval 123504 1
pycstruct 123392 1
simpy 123307 0
py3o-formats 123284 0
cmakelang 123254 1
tatsu 123253 0
mkdocs-minify-plugin 123163 1
minikanren 123161 0
m2r2 123116 1
modelcards 123109 1
dtreeviz 123093 1
simple-di 123014 0
nameof 122924 1
simple-rest-client 122836 0
unihandecode 122825 1
configspace 122803 1
unidic-lite 122741 0
types-stripe 122710 1
pykcs11 122664 1
pyvi 122633 1
dynamicprompts 122395 0
neptune 122387 1
parallel-ssh 122120 1
correctionlib 121988 1
sphinxext-opengraph 121942 1
clvm-tools-rs 121899 0
mistletoe 121800 0
easy-thumbnails 121761 0
ptable 121733 0
django-rich 121591 1
badx12 121577 1
pyside2 121430 1
xlsx2csv 121352 0
iteration-utilities 121330 0
curtsies 121124 0
aiolimiter 121003 0
gptcache 120993 1
crytic-compile 120849 0
jaxopt 120744 1
flake8-string-format 120742 0
pdm-backend 120736 0
ping3 120715 0
pytest-snapshot 120638 0
salesforce-api 120509 1
urlobject 120347 1
flake8-noqa 120151 0
optree 120032 1
waiting 119946 1
idf-component-manager 119801 1
docstring-to-markdown 119746 0
impacket 119597 0
pybreaker 119581 1
serverlessrepo 119572 1
conjure-python-client 119419 1
fortifyapi 119377 1
clvm-tools 119329 1
pybind11-stubgen 119313 1
pyopengl-accelerate 119084 0
bertopic 118941 1
jmp 118874 0
ipwhois 118758 0
pygtrans 118745 1
jupyterlab-git 118726 1
cupy-cuda11x 118714 1
python-neutronclient 118695 0
pyexecjs 118557 1
aws-cdk-aws-s3-notifications 118547 1
kivy 118544 1
python-whois 118428 0
mgzip 118306 1
python-logstash-async 118132 1
monai 118129 1
delayed-assert 118121 1
x-clip 118081 1
google-cloud-artifact-registry 118009 1
feature-engine 117839 1
xml-python 117786 0
pytest-celery 117643 0
ropwr 117640 1
torch-optimizer 117544 1
youtube-search-python 117497 0
awscli-plugin-s3-proxy 117443 1
aqtinstall 117422 1
mo-dots 117273 0
mm 117205 1
mo-imports 117127 0
pytorch-ranger 117093 1
keras-mxnet 117070 1
lightstep 117038 1
pytest-retry 117004 1
ipython-sql 116854 0
model-index 116711 1
spyne 116702 1
launchdarkly-eventsource 116699 1
ed25519 116687 0
lcov-cobertura 116570 1
flask-debugtoolbar 116527 1
shiboken2 116517 1
pyaml-env 116503 1
timeloop 116373 1
flask-mongoengine 116368 1
airflow-provider-great-expectations 116207 1
psycopg-c 116169 1
gitlint-core 116147 0
hydra-colorlog 116070 1
apache-airflow-providers-neo4j 116042 1
pretrainedmodels 115991 1
clvm 115879 1
veracode-api-signing 115862 1
django-dotenv 115837 1
mt-940 115816 0
sops 115789 1
acryl-sqlglot 115613 1
aws-cdk-aws-batch-alpha 115578 0
drf-writable-nested 115546 0
opentelemetry-instrumentation-boto 115502 1
swig 115391 1
sqlvalidator 115338 1
torchinfo 115316 0
circus 115310 0
rockset 115259 1
pytoml 115241 0
musdb 115238 1
arcgis 115210 1
gitlint 115191 0
pylama 115140 0
pygelf 114994 1
mapbox 114941 1
ipadic 114771 0
boto-session-manager 114708 1
saxonche 114684 0
wavedrom 114628 0
varname 114562 1
frida 114525 1
apache-airflow-providers-apache-druid 114439 1
types-emoji 114436 1
coca-pytorch 114406 1
pyobjc-framework-imserviceplugin 114394 1
linear-operator 114384 1
monty 114331 0
pypubsub 114330 0
tf-slim 114279 0
pyscreenshot 114263 0
jupyter-dash 114199 0
pdoc3 114116 1
pyfunceble 114056 0
azure-cognitiveservices-knowledge-qnamaker 113998 1
pamela 113956 0
shellcheck-py 113870 0
json2xml 113862 1
python-csv 113860 1
stable-baselines3 113804 1
businesstimedelta 113763 1
eeweather 113727 1
panns-inference 113724 1
pytapo 113644 1
pytest-vcr 113630 0
azure-ai-language-questionanswering 113630 1
moment 113601 1
fastkml 113583 1
pydantic-yaml 113567 1
pyshorteners 113556 1
tensorflow-macos 113519 1
check-wheel-contents 113503 1
cloudsearch 113494 1
azure-ai-textanalytics 113464 1
amundsen-common 113386 1
urlextract 113381 0
pdoc 113367 0
pygaljs 113366 1
rtp 113265 0
pyarabic 113218 0
django-safedelete 113208 1
python-redmine 113187 1
flake8-rst-docstrings 112990 1
metaflow 112979 1
textstat 112951 1
regressors 112942 1
canopen 112927 1
spglib 112893 1
az-cli 112766 1
junos-eznc 112757 0
coralogix-logger 112739 1
econml 112703 1
uiautomation 112700 1
azure-ai-language-conversations 112687 1
pyannote-core 112624 1
ansible-tower-cli 112572 1
openapi-python-client 112424 1
eccodes 112307 0
versionfinder 112276 0
traceml 112223 1
awslimitchecker 112167 1
compel 112037 1
events 112011 0
slimit 111988 1
commonregex 111965 1
django-cacheops 111953 0
marshmallow3-annotations 111804 1
butterfree 111800 1
aws-lambda-typing 111798 1
py-dmidecode 111788 0
django-scim2 111703 1
types-humanfriendly 111682 1
posix-ipc 111547 0
